ID ing. Serial |ID msj   |Serial|Estado|Cod. Operacion|NMU|Cod. Deposito|Errores |Fecha Modifi.|Usuario |
21361276|47995722|101891000043477|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361277|47995722|101891000043478|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361280|47995722|101891000043479|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361282|47995722|101891000043480|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361284|47995722|101891000043481|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361285|47995722|101891000043482|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361287|47995722|101891000043483|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361290|47995722|101891000043484|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361292|47995722|101891000043485|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361294|47995722|101891000043486|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361296|47995722|101891000043487|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361298|47995722|101891000043488|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361299|47995722|101891000043489|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361301|47995722|101891000043490|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
